# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = peng_model
# start_datetime = 2025-05-15 10:16:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 5000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/admin/AppData/Local/Temp/Rtmp2PZJw8/standata-69c58b2fbe.json
# init = 2 (Default)
# random
#   seed = 619260806
# output
#   file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/sampling-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/peng-profile-2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=peng_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B.1.1,B.2.1,B.3.1,B.1.2,B.2.2,B.3.2,a,sigma
693.489,0.941681,0.0655621,4,15,0,-692.063,0.921373,0.907726,1.17847,1.08115,0.962969,1.32699,0.0769887,0.0699165
691.739,0.883766,0.04138,6,63,0,-689.593,0.94598,0.897349,1.18944,1.08903,0.974336,1.33893,0.0734012,0.0733237
689.025,0.997975,0.0242934,5,31,0,-684.602,0.91641,0.918377,1.20219,1.09266,0.953014,1.30358,0.0787902,0.0731967
689.213,0.999088,0.0209368,5,31,0,-683.614,0.937751,0.885969,1.17711,1.08276,1.00077,1.34219,0.0747055,0.0729799
693.759,1,0.0190569,8,383,0,-686.209,0.80415,0.767624,1.05921,0.95266,0.81899,1.15638,0.108753,0.0748061
695.58,0.999384,0.018011,8,319,0,-689.787,0.861838,0.810078,1.11829,1.01915,0.892631,1.22894,0.0941793,0.0747766
691.877,0.989723,0.0174088,5,31,0,-689.469,0.846991,0.827989,1.13322,1.02779,0.886354,1.23219,0.0936422,0.0753045
694.554,0.999958,0.0166079,6,127,0,-688.941,0.871429,0.842287,1.11781,1.03163,0.888162,1.24523,0.0920593,0.0768654
693.792,0.990721,0.0165723,6,63,0,-691.043,0.876244,0.831855,1.13383,1.02049,0.920751,1.25281,0.0890466,0.0778007
694.717,0.999276,0.016213,7,255,0,-692.375,0.897053,0.856719,1.14771,1.04198,0.914433,1.27061,0.0873374,0.0775072
690.276,0.99756,0.0164114,5,31,0,-687.593,0.895092,0.880504,1.12864,1.04152,0.92479,1.25134,0.0874061,0.0771432
692.437,0.999674,0.0166099,6,127,0,-687.082,0.884573,0.853267,1.1716,1.052,0.923479,1.29667,0.0841706,0.076085
695.257,0.997839,0.016989,6,127,0,-690.056,0.898579,0.852773,1.14994,1.0593,0.925977,1.27745,0.0857011,0.0740459
693.233,0.997619,0.0173283,9,575,0,-691.696,0.794633,0.733483,1.03116,0.924302,0.771052,1.13556,0.113048,0.0750734
688.879,0.997605,0.0177011,7,191,0,-684.789,0.84036,0.798441,1.07737,0.961512,0.825844,1.20405,0.101261,0.0804583
688.638,0.998215,0.0181104,5,31,0,-684.721,0.850238,0.811104,1.07212,0.970367,0.833628,1.20497,0.101341,0.0805173
689.018,0.993522,0.0185851,6,127,0,-683.353,0.80691,0.751074,1.07404,0.979565,0.854505,1.20633,0.103506,0.0728716
